CrashId,VehicleId,PersonId,Age,Gender,Gender Text Format,State,Postal Code,Person Type,Person Type Text Format,Injury Status,Injury Status Text Format,Condition at Time of Crash,Condition at Time of Crash Text Format,Condition at Time of Crash2,Condition at Time of Crash2 Text Format,Action Taken by Officer,Action Taken by Officer Text Format,Alcohol Test Status,Alcohol Test Status Text Format,Type Of Alcohol Test,Type Of Alcohol Test Text Format,Drug Test Status,Drug Test Status Text Format,Type Of Drig Test,Type Of Drig Test Text Format,Ejection Status,Ejection Status Text Format,Restraint System,Restraint System Text Format,Helmet Use,Helmet Use Text Format,Air Bag Status,Air Bag Status Text Format,Speeding Related,Speeding Related Text Format,Driver Actions 1,Driver Actions 1 Text Format,Driver Actions 2,Driver Actions 2 Text Format,Driver Actions 3,Driver Actions 3 Text Format,Driver Actions 4,Driver Actions 4 Text Format,Driver Distracted By,Driver Distracted By Text Format,Roadway On Which Nonmotorist Was Traveling/Located,Direction nonmotorist was traveling,Direction Unknown,Striking Motor Vehicle ID,Bicycle ID,Non-Motorist Not In Roadway,Actions or Circumstances Prior to Crash,Actions or Circumstances Prior to Crash Text Format,To or From School,To or From School Text Format,Actions or Circumstances At Time Of Crash,Actions or Circumstances At Time Of Crash Text Format,Actions or Circumstances At Time Of Crash2,Actions or Circumstances At Time Of Crash2 Text Format,Location At Time Of Crash,Location At Time Of Crash Text Format,Safety Equipment,Safety Equipment Text Format,Safety Equipment2,Safety Equipment2 Text Format,Non-motorist Distracted By,Non-motorist Distracted By Text Format,Seating Position,Seating Position Text Format,Seating Position for Bus,City,Country,Driver License Jurisdiction,Driver License Jurisdiction Text Format,Drivers License Issued By,Drivers License Class,Commercial License Class,Commercial License Class Text Format,Transported to First Medical Facility By,Transported to First Medical Facility By Text Format,Name of the EMS agency,Name of the Intended Receiving Facility
1246972,1,1,45,2,Female,CT,6519,1,Driver,C,Possible Injury (C),99,Unknown,,,3,Infraction,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,1,Shoulder and Lap Belt Used,88,Not Applicable,1,Not Deployed,99,Unknown,13,Failed to Keep in Proper Lane,88,Not Applicable,1,No Contributing Action,1,No Contributing Action,1,Not Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,New Haven,UnitedStates,1,Not Licensed,CT,0,1,No,3,EMS Ground,AMER MED RESPONSE,YALE-NH HOSP
1246975,2,2,29,2,Female,CT,6511,1,Driver,C,Possible Injury (C),2,Physically Impaired,2,Physically Impaired,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,1,Not Deployed,99,Unknown,99,Unknown,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,New Haven,UnitedStates,2,State,CT,4,1,No,3,EMS Ground,AMER MED RESPONSE,YALE-NH HOSP
1246975,1,1,23,1,Male,CT,6473,1,Driver,O,No Apparent Injury (O),1,Apparently Normal,1,Apparently Normal,1,Verbal Warning,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,3,Deployed-Side,99,Unknown,3,Failed to Yield Right-of-Way,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,North Haven,UnitedStates,2,State,CT,4,1,No,1,Not Transported,,
1247966,2,3,,99,Unknown,,,1,Driver,O,No Apparent Injury (O),99,Unknown,,,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,99,Unknown,99,Unknown,1,No Contributing Action,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,,UnitedStates,99,Unknown,,99,99,Unknown,1,Not Transported,,
1247967,2,4,28,1,Male,CT,6515,1,Driver,C,Possible Injury (C),99,Unknown,,,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,1,Shoulder and Lap Belt Used,88,Not Applicable,6,Deployed-Combination,99,Unknown,1,No Contributing Action,1,No Contributing Action,88,Not Applicable,88,Not Applicable,1,Not Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,New Haven,UnitedStates,2,State,CT,4,1,No,3,EMS Ground,AMER MED RESPONSE,YALE-NH HOSP
1249144,1,1,39,1,Male,CT,6516,1,Driver,O,No Apparent Injury (O),1,Apparently Normal,1,Apparently Normal,1,Verbal Warning,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,1,Shoulder and Lap Belt Used,99,Unknown,1,Not Deployed,99,Unknown,4,Ran Red Light,88,Not Applicable,88,Not Applicable,88,Not Applicable,1,Not Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,West Haven,UnitedStates,2,State,CT,4,1,No,1,Not Transported,,
1249153,1,1,34,2,Female,CT,6511,1,Driver,O,No Apparent Injury (O),1,Apparently Normal,1,Apparently Normal,1,Verbal Warning,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,1,Shoulder and Lap Belt Used,88,Not Applicable,1,Not Deployed,99,Unknown,13,Failed to Keep in Proper Lane,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,New Haven,UnitedStates,2,State,CT,4,1,No,1,Not Transported,,
1249527,1,1,40,2,Female,CT,6516,1,Driver,O,No Apparent Injury (O),99,Unknown,,,1,Verbal Warning,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,1,Not Deployed,99,Unknown,12,Followed Too Closely,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,West Haven,UnitedStates,2,State,CT,4,1,No,1,Not Transported,,
1249534,2,2,44,2,Female,CT,,1,Driver,C,Possible Injury (C),99,Unknown,,,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,1,Shoulder and Lap Belt Used,88,Not Applicable,6,Deployed-Combination,99,Unknown,4,Ran Red Light,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,New Haven,UnitedStates,2,State,CT,88,1,No,3,EMS Ground,AMER MED RESPONSE,YALE-NH HOSP
1249543,2,2,62,1,Male,CT,,1,Driver,C,Possible Injury (C),1,Apparently Normal,,,1,Verbal Warning,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,1,Not Deployed,99,Unknown,4,Ran Red Light,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,New Haven,UnitedStates,2,State,FL,4,1,No,3,EMS Ground,AMER MED RESPONSE,ST RAPHAELS-YNHH
1249543,1,1,30,1,Male,CT,6457,1,Driver,C,Possible Injury (C),1,Apparently Normal,,,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,1,Not Deployed,99,Unknown,1,No Contributing Action,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,Middletown,UnitedStates,2,State,CT,4,1,No,3,EMS Ground,AMER MED RESPONSE,ST RAPHAELS-YNHH
1249550,3,2,,99,Unknown,,,1,Driver,O,No Apparent Injury (O),99,Unknown,99,Unknown,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,0,None Used-Motor Vehicle Occupant,88,Not Applicable,1,Not Deployed,99,Unknown,13,Failed to Keep in Proper Lane,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,,UnitedStates,99,Unknown,,99,99,Unknown,1,Not Transported,,
1249557,1,1,,99,Unknown,,,1,Driver,O,No Apparent Injury (O),99,Unknown,,,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,1,Not Deployed,99,Unknown,12,Followed Too Closely,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,,UnitedStates,99,Unknown,,99,99,Unknown,1,Not Transported,,
1249561,1,1,18,1,Male,CT,6513,1,Driver,C,Possible Injury (C),1,Apparently Normal,1,Apparently Normal,1,Verbal Warning,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,1,Shoulder and Lap Belt Used,88,Not Applicable,1,Not Deployed,99,Unknown,99,Unknown,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,New Haven,UnitedStates,1,Not Licensed,,0,1,No,3,EMS Ground,AMER MED RESPONSE,YALE-NH HOSP
1249561,2,2,46,1,Male,CT,6515,1,Driver,O,No Apparent Injury (O),1,Apparently Normal,,,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,1,Shoulder and Lap Belt Used,88,Not Applicable,1,Not Deployed,99,Unknown,99,Unknown,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,New Haven,UnitedStates,2,State,CT,4,1,No,1,Not Transported,,
1250321,1,1,34,2,Female,CT,6511,1,Driver,C,Possible Injury (C),1,Apparently Normal,,,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,1,Not Deployed,99,Unknown,13,Failed to Keep in Proper Lane,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,New Haven,UnitedStates,,,CT,,,,3,EMS Ground,AMER MED RESPONSE,ST RAPHAELS-YNHH
1250323,2,5,22,1,Male,CT,6513,1,Driver,O,No Apparent Injury (O),1,Apparently Normal,1,Apparently Normal,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,3,Deployed-Side,99,Unknown,1,No Contributing Action,88,Not Applicable,88,Not Applicable,88,Not Applicable,1,Not Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,New Haven,UnitedStates,2,State,CT,4,1,No,1,Not Transported,,
1251699,1,1,20,1,Male,CT,6513,1,Driver,O,No Apparent Injury (O),1,Apparently Normal,1,Apparently Normal,4,Arrest/Summons,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,1,Not Deployed,99,Unknown,13,Failed to Keep in Proper Lane,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,New Haven,UnitedStates,1,Not Licensed,CT,88,1,No,1,Not Transported,,
1251702,2,2,57,2,Female,CT,6512,1,Driver,C,Possible Injury (C),1,Apparently Normal,,,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,1,Not Deployed,99,Unknown,1,No Contributing Action,88,Not Applicable,88,Not Applicable,88,Not Applicable,1,Not Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,East Haven,UnitedStates,2,State,CT,4,1,No,3,EMS Ground,AMER MED RESPONSE,YALE-NH HOSP
1251702,1,1,66,1,Male,CT,6511,1,Driver,O,No Apparent Injury (O),1,Apparently Normal,,,1,Verbal Warning,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,2,Deployed-Front,99,Unknown,4,Ran Red Light,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,New Haven,UnitedStates,2,State,CT,4,1,No,1,Not Transported,,
1251712,1,1,29,2,Female,CT,6418,1,Driver,O,No Apparent Injury (O),1,Apparently Normal,,,1,Verbal Warning,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,1,Not Deployed,99,Unknown,3,Failed to Yield Right-of-Way,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,Derby,UnitedStates,2,State,CT,4,1,No,1,Not Transported,,
1251717,1,1,38,1,Male,CT,6513,1,Driver,C,Possible Injury (C),1,Apparently Normal,1,Apparently Normal,1,Verbal Warning,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,3,Deployed-Side,99,Unknown,13,Failed to Keep in Proper Lane,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,New Haven,UnitedStates,2,State,CT,4,1,No,3,EMS Ground,AMER MED RESPONSE,YALE-NH HOSP
1252492,2,2,36,1,Male,CT,6706,1,Driver,C,Possible Injury (C),1,Apparently Normal,,,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,2,Deployed-Front,99,Unknown,1,No Contributing Action,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,Waterbury,UnitedStates,2,State,CT,4,1,No,1,Not Transported,,
1252492,1,1,28,2,Female,CT,6516,1,Driver,C,Possible Injury (C),1,Apparently Normal,,,1,Verbal Warning,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,6,Deployed-Combination,99,Unknown,3,Failed to Yield Right-of-Way,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,West Haven,UnitedStates,2,State,CT,4,1,No,3,EMS Ground,AMER MED RESPONSE,YALE-NH HOSP
1252493,2,2,33,1,Male,CT,6511,1,Driver,C,Possible Injury (C),1,Apparently Normal,1,Apparently Normal,1,Verbal Warning,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown,1,Not Deployed,99,Unknown,10,Improper Passing,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,12,"First Row, Middle Seat",,New Haven,UnitedStates,2,State,CT,4,1,No,1,Not Transported,,
1252503,2,2,62,1,Male,CT,6511,1,Driver,C,Possible Injury (C),99,Unknown,99,Unknown,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,1,Not Deployed,99,Unknown,99,Unknown,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,New Haven,UnitedStates,2,State,CT,2,2,Yes,3,EMS Ground,AMER MED RESPONSE,ST RAPHAELS-YNHH
1252503,1,1,39,2,Female,CT,,1,Driver,O,No Apparent Injury (O),99,Unknown,99,Unknown,1,Verbal Warning,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,1,Not Deployed,99,Unknown,99,Unknown,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,New Haven,UnitedStates,1,Not Licensed,,0,1,No,1,Not Transported,,
1252505,1,1,62,1,Male,CT,6519,1,Driver,O,No Apparent Injury (O),1,Apparently Normal,,,1,Verbal Warning,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,1,Not Deployed,99,Unknown,10,Improper Passing,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,New Haven,UnitedStates,2,State,CT,2,2,Yes,1,Not Transported,,
1252505,2,2,24,2,Female,CT,6511,1,Driver,C,Possible Injury (C),1,Apparently Normal,,,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,1,Not Deployed,99,Unknown,1,No Contributing Action,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,New Haven,UnitedStates,2,State,CT,4,1,No,1,Not Transported,,
1252852,1,1,55,1,Male,CT,6513,1,Driver,O,No Apparent Injury (O),1,Apparently Normal,,,1,Verbal Warning,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,99,Unknown,1,Not Deployed,99,Unknown,9,Improper Backing,88,Not Applicable,88,Not Applicable,88,Not Applicable,1,Not Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,New Haven,UnitedStates,2,State,CT,4,1,No,1,Not Transported,,
1253120,1,1,19,2,Female,CT,6513,1,Driver,B,Suspected Minor Injury (B),1,Apparently Normal,,,3,Infraction,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,2,Deployed-Front,99,Unknown,13,Failed to Keep in Proper Lane,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,New Haven,UnitedStates,2,State,CT,4,1,No,3,EMS Ground,AMER MED RESPONSE,YALE-NH HOSP
1254814,1,1,28,2,Female,CT,6010,1,Driver,O,No Apparent Injury (O),1,Apparently Normal,1,Apparently Normal,1,Verbal Warning,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,1,Shoulder and Lap Belt Used,88,Not Applicable,1,Not Deployed,99,Unknown,12,Followed Too Closely,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,Bristol,UnitedStates,2,State,CT,4,1,No,1,Not Transported,,
1254816,2,2,,99,Unknown,,,1,Driver,O,No Apparent Injury (O),99,Unknown,99,Unknown,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,99,Unknown,99,Unknown,99,Unknown,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,,UnitedStates,99,Unknown,,99,1,No,1,Not Transported,,
1254824,1,1,,99,Unknown,,,1,Driver,O,No Apparent Injury (O),99,Unknown,,,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,1,Not Deployed,99,Unknown,13,Failed to Keep in Proper Lane,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,,UnitedStates,99,Unknown,,99,99,Unknown,1,Not Transported,,
1254844,2,2,27,1,Male,CT,6517,1,Driver,C,Possible Injury (C),1,Apparently Normal,,,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,1,Not Deployed,99,Unknown,1,No Contributing Action,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,Hamden,UnitedStates,2,State,CT,4,2,Yes,1,Not Transported,,
1254844,1,1,34,2,Female,CT,6517,1,Driver,O,No Apparent Injury (O),1,Apparently Normal,,,4,Arrest/Summons,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,1,Not Deployed,99,Unknown,12,Followed Too Closely,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,Hamden,UnitedStates,2,State,CT,4,2,Yes,1,Not Transported,,
1254846,1,1,58,2,Female,CT,6511,1,Driver,C,Possible Injury (C),1,Apparently Normal,1,Apparently Normal,1,Verbal Warning,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,1,Not Deployed,99,Unknown,1,No Contributing Action,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,New Haven,UnitedStates,2,State,CT,4,1,No,3,EMS Ground,AMER MED RESPONSE,
1254846,2,2,46,1,Male,CT,6511,1,Driver,C,Possible Injury (C),1,Apparently Normal,1,Apparently Normal,1,Verbal Warning,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,1,Not Deployed,99,Unknown,3,Failed to Yield Right-of-Way,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,New Haven,UnitedStates,2,State,CT,4,1,No,3,EMS Ground,AMER MED RESPONSE,
1254860,1,1,44,2,Female,CT,6511,1,Driver,C,Possible Injury (C),97,Other,,,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,1,Not Deployed,99,Unknown,99,Unknown,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,New Haven,UnitedStates,2,State,CT,4,1,No,3,EMS Ground,AMER MED RESPONSE,ST RAPHAELS-YNHH
1254860,2,2,54,1,Male,MA,1056,1,Driver,C,Possible Injury (C),1,Apparently Normal,,,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,1,Not Deployed,99,Unknown,99,Unknown,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,Ludlow,UnitedStates,2,State,MA,4,1,No,1,Not Transported,,
1254869,3,5,59,2,Female,CT,6513,1,Driver,O,No Apparent Injury (O),1,Apparently Normal,,,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,1,Not Deployed,99,Unknown,1,No Contributing Action,88,Not Applicable,88,Not Applicable,88,Not Applicable,1,Not Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,New Haven,UnitedStates,2,State,CT,4,1,No,1,Not Transported,,
1255269,2,2,35,1,Male,CT,6513,1,Driver,C,Possible Injury (C),1,Apparently Normal,1,Apparently Normal,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,1,Not Deployed,99,Unknown,1,No Contributing Action,88,Not Applicable,88,Not Applicable,88,Not Applicable,1,Not Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,New Haven,UnitedStates,2,State,CT,4,1,No,3,EMS Ground,AMER MED RESPONSE,ST RAPHAELS-YNHH
1255269,1,1,59,1,Male,CT,6511,1,Driver,O,No Apparent Injury (O),1,Apparently Normal,1,Apparently Normal,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,1,Not Deployed,99,Unknown,3,Failed to Yield Right-of-Way,88,Not Applicable,88,Not Applicable,88,Not Applicable,1,Not Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,New Haven,UnitedStates,2,State,CT,4,1,No,1,Not Transported,,
1255667,1,1,56,2,Female,CT,6512,1,Driver,O,No Apparent Injury (O),1,Apparently Normal,1,Apparently Normal,1,Verbal Warning,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,2,Deployed-Front,99,Unknown,4,Ran Red Light,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,East Haven,UnitedStates,2,State,CT,4,1,No,1,Not Transported,,
1255667,2,2,26,1,Male,CT,6511,1,Driver,C,Possible Injury (C),1,Apparently Normal,1,Apparently Normal,1,Verbal Warning,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,1,Not Deployed,99,Unknown,1,No Contributing Action,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,New Haven,UnitedStates,99,Unknown,,99,1,No,3,EMS Ground,AMER MED RESPONSE,ST RAPHAELS-YNHH
1255673,1,1,27,1,Male,CT,6511,1,Driver,C,Possible Injury (C),1,Apparently Normal,1,Apparently Normal,4,Arrest/Summons,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,1,Not Deployed,99,Unknown,6,Disregarded Other Traffic Sign,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,New Haven,UnitedStates,1,Not Licensed,,88,1,No,3,EMS Ground,AMER MED RESPONSE,YALE-NH HOSP
1255673,2,2,47,2,Female,CT,6512,1,Driver,C,Possible Injury (C),1,Apparently Normal,1,Apparently Normal,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,1,Not Deployed,99,Unknown,1,No Contributing Action,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,East Haven,UnitedStates,2,State,CT,4,1,No,3,EMS Ground,NEW HAVEN FIRE,YALE-NH HOSP
1255691,1,1,31,1,Male,CT,6811,1,Driver,O,No Apparent Injury (O),1,Apparently Normal,1,Apparently Normal,1,Verbal Warning,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,1,Shoulder and Lap Belt Used,88,Not Applicable,1,Not Deployed,99,Unknown,4,Ran Red Light,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,Danbury,UnitedStates,2,State,CT,4,1,No,1,Not Transported,,
